Date,Date,Open,High,Low,Close,Volume,RSI,SMA,EMA,MACD,MACD Signal,LB,UB
2020-09-09,2020-09-09,10134.1513671875,10350.54296875,10017.2509765625,10242.34765625,24128292755,37.87268137571911,11361.919205729168,11014.634110501263,-310.1426754173099,-145.6804720586224,12426.047793189015,9840.783652123484
2020-09-10,2020-09-10,10242.330078125,10503.912109375,10238.1357421875,10363.138671875,54406443211,40.17259752671371,11327.006315104167,10972.602146718924,-313.102163954185,-179.16481043773493,12388.116984204315,9755.779402514434
2020-09-11,2020-09-11,10369.0283203125,10434.9228515625,10140.8369140625,10400.9150390625,45201121775,40.90934463713772,11287.538997395834,10935.719107515284,-308.83923634898383,-205.09969561998471,12323.790251048262,9692.015120045487
2020-09-12,2020-09-12,10409.861328125,10578.837890625,10292.38671875,10442.1708984375,36750077324,41.75295579582184,11242.806770833333,10903.877287574782,-298.68873464150056,-223.81750342428788,12248.423891276845,9645.113804035656
2020-09-13,2020-09-13,10452.3994140625,10577.21484375,10224.330078125,10323.755859375,36506852789,39.988290848629894,11194.636263020833,10866.450098658666,-296.778416082032,-238.4096859558367,12144.59139616058,9603.862314776921
2020-09-14,2020-09-14,10328.734375,10800.0107421875,10266.0087890625,10680.837890625,35453581940,47.23098048918833,11155.14091796875,10854.475117495203,-263.4144612581513,-243.41064101629962,12092.24589651014,9587.67812692736
2020-09-15,2020-09-15,10677.7548828125,10938.6318359375,10656.4599609375,10796.951171875,32509451925,49.37073564539459,11118.6125,10850.763895197126,-225.01013847581635,-239.73054050820298,12021.828649292589,9588.954163207412
2020-09-16,2020-09-16,10797.76171875,11100.1240234375,10704.884765625,10974.9052734375,30769986455,52.54660846055532,11075.96259765625,10858.773016373923,-178.16129470716805,-227.416691347996,11984.037879172722,9591.895714577278
2020-09-17,2020-09-17,10973.251953125,11037.4208984375,10774.6279296875,10948.990234375,38151810523,52.03471076029078,11041.221158854167,10864.593482051412,-141.49332854916975,-210.23201878823073,11906.500842629714,9610.081774557788
2020-09-18,2020-09-18,10951.8203125,11034.908203125,10829.6572265625,10944.5859375,26341903912,51.94209873487176,11014.097916666668,10869.75428562874,-111.5037453721161,-190.4863641050078,11830.219209887015,9630.135477612985
2020-09-19,2020-09-19,10933.7529296875,11134.0927734375,10909.6181640625,11094.3466796875,22764204008,54.88261915279911,10987.963736979167,10884.244117503498,-74.79020937089626,-167.3471331581855,11719.22427378965,9679.414495741601
2020-09-20,2020-09-20,11095.8701171875,11095.8701171875,10814.4775390625,10938.271484375,24699523788,51.35590415328332,10966.156477864582,10887.729754075854,-57.62417584078503,-145.4025416947054,11586.011732055442,9738.37215466331
2020-09-21,2020-09-21,10934.92578125,10988.3046875,10380.2607421875,10462.259765625,28884999244,42.40578045922956,10925.504296875,10860.280077401605,-81.49076330761272,-132.62018601728687,11291.314602015436,9882.247409703314
2020-09-22,2020-09-22,10459.6240234375,10568.0771484375,10382.7265625,10538.4599609375,23621787804,44.08568569808185,10887.958040364583,10839.517489242631,-93.18233889563817,-124.73261659295713,11136.549856572961,9949.454733270788
2020-09-23,2020-09-23,10535.4921875,10537.828125,10197.865234375,10246.1865234375,23788661867,39.34527062801071,10837.011067708334,10801.238072093913,-124.59575821508042,-124.70524491738179,11136.505214858405,9949.588339829095
2020-09-24,2020-09-24,10248.7861328125,10771.056640625,10231.490234375,10760.06640625,47144380902,49.60553519883263,10816.8087890625,10798.581835587855,-106.79424984253455,-121.12304590241234,11156.126571204284,9954.792276451964
2020-09-25,2020-09-25,10761.109375,10777.6962890625,10578.9140625,10692.716796875,39348590957,48.448797107223086,10790.287239583333,10791.751833090251,-97.00278904674997,-116.29899453127987,11157.85430451953,10005.37948454297
2020-09-26,2020-09-26,10695.5751953125,10772.9990234375,10667.28125,10750.7236328125,46852525493,49.54018548944008,10771.198111979167,10789.10485242717,-83.59864579524583,-109.75892478407306,11168.52196536244,10041.74903073131
2020-09-27,2020-09-27,10746.892578125,10803.9765625,10622.921875,10775.26953125,53745972818,50.02235610547483,10745.623763020832,10788.2122510609,-70.18605567104532,-101.84435096146751,11182.599963991544,10068.241637570956
2020-09-28,2020-09-28,10776.61328125,10945.34765625,10703.8935546875,10709.65234375,47762394731,48.68312087921947,10719.05,10783.143869944068,-64.11219454045022,-94.29791967726405,11163.971512132632,10144.683663648617
2020-09-29,2020-09-29,10709.650390625,10860.0009765625,10649.4951171875,10844.640625,46582396602,51.55649026499232,10690.1544921875,10787.111402528322,-47.85455219265532,-85.0092461803423,11163.407453143083,10205.477019513166
2020-09-30,2020-09-30,10843.87109375,10847.2568359375,10669.3212890625,10784.4912109375,44171073700,50.20746665968767,10660.27685546875,10786.94235790956,-39.369975951447486,-75.88139213456334,11162.660891558397,10248.358835004103
2020-10-01,2020-10-01,10795.2548828125,10933.6240234375,10472.3564453125,10619.4521484375,40023134100,46.604162351301284,10615.242643229167,10776.136537943621,-45.43936449806279,-69.79298660726323,11153.969646244375,10278.903791255623
2020-10-02,2020-10-02,10619.8212890625,10657.837890625,10416.689453125,10575.974609375,48661453918,45.674197682811794,10587.30732421875,10763.222865132742,-53.14504964358093,-66.46339921452677,11147.576667056712,10298.677141537037
2020-10-03,2020-10-03,10575.1005859375,10598.9404296875,10511.1298828125,10549.3291015625,44660271563,45.08048806721801,10597.441731770834,10749.42326748305,-60.70219333358909,-65.31115803833924,11126.566830650345,10342.244302162157
2020-10-04,2020-10-04,10550.4404296875,10686.0,10534.3916015625,10669.5830078125,71251776995,48.34399009350487,10602.700716145833,10744.272282988175,-56.33836531768793,-63.51659949420898,11126.342101363642,10341.34354316761
2020-10-05,2020-10-05,10676.529296875,10793.5078125,10634.6005859375,10793.33984375,47537578009,51.53577197511109,10623.493131510417,10747.437932069583,-42.40503890203581,-59.294287375774346,11126.048545159316,10341.275966559435
2020-10-06,2020-10-06,10796.306640625,10797.578125,10528.890625,10604.40625,42623695307,46.7832174671731,10634.294954427083,10738.21008161348,-46.07699247778328,-56.65082839617613,11095.00055517514,10335.27405419986
2020-10-07,2020-10-07,10603.35546875,10680.5078125,10562.5068359375,10668.96875,37799458436,48.52995909689841,10644.275130208332,10733.74289892874,-43.278500350774266,-53.97636278709576,11065.829028995973,10336.443431941527
2020-10-08,2020-10-08,10669.37109375,10945.7373046875,10562.6064453125,10915.685546875,63314794397,54.65504389211263,10670.414095052083,10745.481134280111,-20.911635254389694,-47.36341728055454,11060.724747932565,10338.657673942436
